problem,solver,run,conv,stage
Rastrigin_A5.0_20D,base,0,0,hgca_cma_failed
Rastrigin_A5.0_20D,pcu,0,1,pcu_ok
Rastrigin_A5.0_20D,base,1,0,hgca_cma_failed
Rastrigin_A5.0_20D,pcu,1,1,pcu_ok
Rastrigin_A5.0_20D,base,2,0,hgca_cma_failed
Rastrigin_A5.0_20D,pcu,2,1,pcu_ok
Rastrigin_A5.0_20D,base,3,0,hgca_cma_failed
Rastrigin_A5.0_20D,pcu,3,1,pcu_ok
Rastrigin_A5.0_20D,base,4,0,hgca_cma_failed
Rastrigin_A5.0_20D,pcu,4,1,pcu_ok
Rastrigin_A5.0_20D,base,5,0,hgca_cma_failed
Rastrigin_A5.0_20D,pcu,5,1,pcu_ok
Rastrigin_A5.0_20D,base,6,0,hgca_cma_failed
Rastrigin_A5.0_20D,pcu,6,1,pcu_ok
Rastrigin_A5.0_20D,base,7,0,hgca_cma_failed
Rastrigin_A5.0_20D,pcu,7,1,pcu_ok
Rastrigin_A5.0_20D,base,8,0,hgca_cma_failed
Rastrigin_A5.0_20D,pcu,8,1,pcu_ok
Rastrigin_A5.0_20D,base,9,0,hgca_cma_failed
Rastrigin_A5.0_20D,pcu,9,1,pcu_ok
Rastrigin_A20.0_20D,base,0,0,hgca_cma_failed
Rastrigin_A20.0_20D,pcu,0,1,pcu_ok
Rastrigin_A20.0_20D,base,1,0,hgca_cma_failed
Rastrigin_A20.0_20D,pcu,1,1,pcu_ok
Rastrigin_A20.0_20D,base,2,0,hgca_cma_failed
Rastrigin_A20.0_20D,pcu,2,1,pcu_ok
Rastrigin_A20.0_20D,base,3,0,hgca_cma_failed
Rastrigin_A20.0_20D,pcu,3,1,pcu_ok
Rastrigin_A20.0_20D,base,4,0,hgca_cma_failed
Rastrigin_A20.0_20D,pcu,4,1,pcu_ok
Rastrigin_A20.0_20D,base,5,0,hgca_cma_failed
Rastrigin_A20.0_20D,pcu,5,1,pcu_ok
Rastrigin_A20.0_20D,base,6,0,hgca_cma_failed
Rastrigin_A20.0_20D,pcu,6,1,pcu_ok
Rastrigin_A20.0_20D,base,7,0,hgca_cma_failed
Rastrigin_A20.0_20D,pcu,7,1,pcu_ok
Rastrigin_A20.0_20D,base,8,0,hgca_cma_failed
Rastrigin_A20.0_20D,pcu,8,1,pcu_ok
Rastrigin_A20.0_20D,base,9,0,hgca_cma_failed
Rastrigin_A20.0_20D,pcu,9,1,pcu_ok
Rastrigin_b_20D,base,0,0,hgca_cma_failed
Rastrigin_b_20D,pcu,0,0,hgca_cma_failed
Rastrigin_b_20D,base,1,0,hgca_cma_failed
Rastrigin_b_20D,pcu,1,0,hgca_cma_failed
Rastrigin_b_20D,base,2,0,hgca_cma_failed
Rastrigin_b_20D,pcu,2,0,hgca_cma_failed
Rastrigin_b_20D,base,3,0,hgca_cma_failed
Rastrigin_b_20D,pcu,3,0,hgca_cma_failed
Rastrigin_b_20D,base,4,0,hgca_cma_failed
Rastrigin_b_20D,pcu,4,0,hgca_cma_failed
Rastrigin_b_20D,base,5,0,hgca_cma_failed
Rastrigin_b_20D,pcu,5,0,hgca_cma_failed
Rastrigin_b_20D,base,6,0,hgca_cma_failed
Rastrigin_b_20D,pcu,6,0,hgca_cma_failed
Rastrigin_b_20D,base,7,0,hgca_cma_failed
Rastrigin_b_20D,pcu,7,0,hgca_cma_failed
Rastrigin_b_20D,base,8,0,hgca_cma_failed
Rastrigin_b_20D,pcu,8,0,hgca_cma_failed
Rastrigin_b_20D,base,9,0,hgca_cma_failed
Rastrigin_b_20D,pcu,9,0,hgca_cma_failed
Rastrigin_T2.0_20D,base,0,0,hgca_cma_failed
Rastrigin_T2.0_20D,pcu,0,1,pcu_ok
Rastrigin_T2.0_20D,base,1,0,hgca_cma_failed
Rastrigin_T2.0_20D,pcu,1,1,pcu_ok
Rastrigin_T2.0_20D,base,2,0,hgca_cma_failed
Rastrigin_T2.0_20D,pcu,2,1,pcu_ok
Rastrigin_T2.0_20D,base,3,0,hgca_cma_failed
Rastrigin_T2.0_20D,pcu,3,1,pcu_ok
Rastrigin_T2.0_20D,base,4,0,hgca_cma_failed
Rastrigin_T2.0_20D,pcu,4,1,pcu_ok
Rastrigin_T2.0_20D,base,5,0,hgca_cma_failed
Rastrigin_T2.0_20D,pcu,5,1,pcu_ok
Rastrigin_T2.0_20D,base,6,0,hgca_cma_failed
Rastrigin_T2.0_20D,pcu,6,1,pcu_ok
Rastrigin_T2.0_20D,base,7,0,hgca_cma_failed
Rastrigin_T2.0_20D,pcu,7,1,pcu_ok
Rastrigin_T2.0_20D,base,8,0,hgca_cma_failed
Rastrigin_T2.0_20D,pcu,8,1,pcu_ok
Rastrigin_T2.0_20D,base,9,0,hgca_cma_failed
Rastrigin_T2.0_20D,pcu,9,1,pcu_ok
Rastrigin_c12.0_20D,base,0,0,hgca_cma_failed
Rastrigin_c12.0_20D,pcu,0,1,pcu_ok
Rastrigin_c12.0_20D,base,1,0,hgca_cma_failed
Rastrigin_c12.0_20D,pcu,1,1,pcu_ok
Rastrigin_c12.0_20D,base,2,0,hgca_cma_failed
Rastrigin_c12.0_20D,pcu,2,1,pcu_ok
Rastrigin_c12.0_20D,base,3,0,hgca_cma_failed
Rastrigin_c12.0_20D,pcu,3,1,pcu_ok
Rastrigin_c12.0_20D,base,4,0,hgca_cma_failed
Rastrigin_c12.0_20D,pcu,4,1,pcu_ok
Rastrigin_c12.0_20D,base,5,0,hgca_cma_failed
Rastrigin_c12.0_20D,pcu,5,1,pcu_ok
Rastrigin_c12.0_20D,base,6,0,hgca_cma_failed
Rastrigin_c12.0_20D,pcu,6,1,pcu_ok
Rastrigin_c12.0_20D,base,7,0,hgca_cma_failed
Rastrigin_c12.0_20D,pcu,7,1,pcu_ok
Rastrigin_c12.0_20D,base,8,0,hgca_cma_failed
Rastrigin_c12.0_20D,pcu,8,1,pcu_ok
Rastrigin_c12.0_20D,base,9,0,hgca_cma_failed
Rastrigin_c12.0_20D,pcu,9,1,pcu_ok
Cosine_20D,base,0,0,hgca_cma_failed
Cosine_20D,pcu,0,1,pcu_ok
Cosine_20D,base,1,0,hgca_cma_failed
Cosine_20D,pcu,1,1,pcu_ok
Cosine_20D,base,2,0,hgca_cma_failed
Cosine_20D,pcu,2,1,pcu_ok
Cosine_20D,base,3,0,hgca_cma_failed
Cosine_20D,pcu,3,1,pcu_ok
Cosine_20D,base,4,0,hgca_cma_failed
Cosine_20D,pcu,4,1,pcu_ok
Cosine_20D,base,5,0,hgca_cma_failed
Cosine_20D,pcu,5,1,pcu_ok
Cosine_20D,base,6,0,hgca_cma_failed
Cosine_20D,pcu,6,1,pcu_ok
Cosine_20D,base,7,0,hgca_cma_failed
Cosine_20D,pcu,7,1,pcu_ok
Cosine_20D,base,8,0,hgca_cma_failed
Cosine_20D,pcu,8,1,pcu_ok
Cosine_20D,base,9,0,hgca_cma_failed
Cosine_20D,pcu,9,1,pcu_ok
Cosine_20D_T2.0,base,0,0,hgca_cma_failed
Cosine_20D_T2.0,pcu,0,1,pcu_ok
Cosine_20D_T2.0,base,1,0,hgca_cma_failed
Cosine_20D_T2.0,pcu,1,1,pcu_ok
Cosine_20D_T2.0,base,2,1,hgca_cma_refined
Cosine_20D_T2.0,pcu,2,1,pcu_ok
Cosine_20D_T2.0,base,3,1,hgca_cma_refined
Cosine_20D_T2.0,pcu,3,1,pcu_ok
Cosine_20D_T2.0,base,4,1,hgca_cma_refined
Cosine_20D_T2.0,pcu,4,1,pcu_ok
Cosine_20D_T2.0,base,5,1,hgca_cma_refined
Cosine_20D_T2.0,pcu,5,1,pcu_ok
Cosine_20D_T2.0,base,6,0,hgca_cma_failed
Cosine_20D_T2.0,pcu,6,1,pcu_ok
Cosine_20D_T2.0,base,7,0,hgca_cma_failed
Cosine_20D_T2.0,pcu,7,1,pcu_ok
Cosine_20D_T2.0,base,8,1,hgca_cma_refined
Cosine_20D_T2.0,pcu,8,1,pcu_ok
Cosine_20D_T2.0,base,9,1,hgca_refined_f
Cosine_20D_T2.0,pcu,9,1,pcu_ok
SinSq_20D,base,0,0,hgca_cma_failed
SinSq_20D,pcu,0,1,pcu_ok
SinSq_20D,base,1,0,hgca_cma_failed
SinSq_20D,pcu,1,1,pcu_ok
SinSq_20D,base,2,0,hgca_cma_failed
SinSq_20D,pcu,2,1,pcu_ok
SinSq_20D,base,3,0,hgca_cma_failed
SinSq_20D,pcu,3,1,pcu_ok
SinSq_20D,base,4,0,hgca_cma_failed
SinSq_20D,pcu,4,1,pcu_ok
SinSq_20D,base,5,0,hgca_cma_failed
SinSq_20D,pcu,5,1,pcu_ok
SinSq_20D,base,6,0,hgca_cma_failed
SinSq_20D,pcu,6,1,pcu_ok
SinSq_20D,base,7,0,hgca_cma_failed
SinSq_20D,pcu,7,1,pcu_ok
SinSq_20D,base,8,0,hgca_cma_failed
SinSq_20D,pcu,8,1,pcu_ok
SinSq_20D,base,9,0,hgca_cma_failed
SinSq_20D,pcu,9,1,pcu_ok
