problem,solver,run,conv,time_ms,nit,stage
Beale_2D,v54,0,1,54.4,0,homotopy_direct
Beale_2D,v71,0,1,51.0,0,homotopy_direct
Beale_2D,v54,1,1,51.0,0,homotopy_direct
Beale_2D,v71,1,1,58.9,0,homotopy_direct
Beale_2D,v54,2,1,53.7,0,homotopy_direct
Beale_2D,v71,2,1,55.0,0,homotopy_direct
Beale_2D,v54,3,1,57.8,0,homotopy_direct
Beale_2D,v71,3,1,54.1,0,homotopy_direct
Beale_2D,v54,4,1,47.0,0,homotopy_direct
Beale_2D,v71,4,1,48.0,0,homotopy_direct
Beale_2D,v54,5,1,46.3,0,homotopy_direct
Beale_2D,v71,5,1,48.9,0,homotopy_direct
Beale_2D,v54,6,1,44.8,0,homotopy_direct
Beale_2D,v71,6,1,38.0,0,homotopy_direct
Beale_2D,v54,7,1,47.0,0,homotopy_direct
Beale_2D,v71,7,1,48.0,0,homotopy_direct
Beale_2D,v54,8,1,46.8,0,homotopy_direct
Beale_2D,v71,8,1,47.0,0,homotopy_direct
Beale_2D,v54,9,1,47.0,0,homotopy_direct
Beale_2D,v71,9,1,67.6,0,homotopy_direct
Beale_2D,v54,10,1,70.6,0,homotopy_direct
Beale_2D,v71,10,1,46.5,0,homotopy_direct
Beale_2D,v54,11,1,45.0,0,homotopy_direct
Beale_2D,v71,11,1,47.4,0,homotopy_direct
Beale_2D,v54,12,1,45.0,0,homotopy_direct
Beale_2D,v71,12,1,44.9,0,homotopy_direct
Beale_2D,v54,13,1,54.7,0,homotopy_direct
Beale_2D,v71,13,1,56.0,0,homotopy_direct
Beale_2D,v54,14,1,49.9,0,homotopy_direct
Beale_2D,v71,14,1,53.1,0,homotopy_direct
Beale_2D,v54,15,1,39.0,0,homotopy_direct
Beale_2D,v71,15,1,39.0,0,homotopy_direct
Beale_2D,v54,16,1,46.0,0,homotopy_direct
Beale_2D,v71,16,1,50.0,0,homotopy_direct
Beale_2D,v54,17,1,53.2,0,homotopy_direct
Beale_2D,v71,17,1,51.0,0,homotopy_direct
Beale_2D,v54,18,1,52.0,0,homotopy_direct
Beale_2D,v71,18,1,52.0,0,homotopy_direct
Beale_2D,v54,19,1,53.0,0,homotopy_direct
Beale_2D,v71,19,1,56.4,0,homotopy_direct
Beale_2D,v54,20,1,39.0,0,homotopy_direct
Beale_2D,v71,20,1,42.1,0,homotopy_direct
Beale_2D,v54,21,1,52.0,0,homotopy_direct
Beale_2D,v71,21,1,64.3,0,homotopy_direct
Beale_2D,v54,22,1,43.7,0,homotopy_direct
Beale_2D,v71,22,1,38.0,0,homotopy_direct
Beale_2D,v54,23,1,37.5,0,homotopy_direct
Beale_2D,v71,23,1,36.1,0,homotopy_direct
Beale_2D,v54,24,1,51.2,0,homotopy_direct
Beale_2D,v71,24,1,51.0,0,homotopy_direct
Beale_2D,v54,25,1,1.0,24,direct_newton
Beale_2D,v71,25,1,1.0,24,direct_newton
Beale_2D,v54,26,1,47.0,0,homotopy_direct
Beale_2D,v71,26,1,45.0,0,homotopy_direct
Beale_2D,v54,27,1,54.2,0,homotopy_direct
Beale_2D,v71,27,1,51.0,0,homotopy_direct
Beale_2D,v54,28,1,39.0,0,homotopy_direct
Beale_2D,v71,28,1,38.7,0,homotopy_direct
Beale_2D,v54,29,1,30.0,0,homotopy_direct
Beale_2D,v71,29,1,32.1,0,homotopy_direct
Beale_2D_C,v54,0,1,237.7,25888,hgca_cma_refined
Beale_2D_C,v71,0,1,235.5,25888,hgca_cma_refined
Beale_2D_C,v54,1,1,177.7,18321,hgca_cma_refined
Beale_2D_C,v71,1,1,178.2,18321,hgca_cma_refined
Beale_2D_C,v54,2,1,210.9,22688,hgca_cma_refined
Beale_2D_C,v71,2,1,210.9,22688,hgca_cma_refined
Beale_2D_C,v54,3,1,171.2,17080,hgca_cma_refined
Beale_2D_C,v71,3,1,173.3,17080,hgca_cma_refined
Beale_2D_C,v54,4,1,218.1,22936,hgca_cma_refined
Beale_2D_C,v71,4,1,210.4,22936,hgca_cma_refined
Beale_2D_C,v54,5,1,177.3,17953,hgca_cma_refined
Beale_2D_C,v71,5,1,173.9,17953,hgca_cma_refined
