problem,solver,run,conv,time_ms,nit,stage
Beale_2D,v54,0,1,55.2,0,homotopy_direct
Beale_2D,v70,0,1,51.1,0,homotopy_direct
Beale_2D,v54,1,1,51.0,0,homotopy_direct
Beale_2D,v70,1,1,52.0,0,homotopy_direct
Beale_2D,v54,2,1,51.5,0,homotopy_direct
Beale_2D,v70,2,1,50.5,0,homotopy_direct
Beale_2D,v54,3,1,54.6,0,homotopy_direct
Beale_2D,v70,3,1,52.0,0,homotopy_direct
Beale_2D,v54,4,1,47.0,0,homotopy_direct
Beale_2D,v70,4,1,46.0,0,homotopy_direct
Beale_2D,v54,5,1,49.5,0,homotopy_direct
Beale_2D,v70,5,1,46.2,0,homotopy_direct
Beale_2D,v54,6,1,37.0,0,homotopy_direct
Beale_2D,v70,6,1,39.0,0,homotopy_direct
Beale_2D,v54,7,1,51.0,0,homotopy_direct
Beale_2D,v70,7,1,46.0,0,homotopy_direct
Beale_2D,v54,8,1,43.0,0,homotopy_direct
Beale_2D,v70,8,1,43.0,0,homotopy_direct
Beale_2D,v54,9,1,46.0,0,homotopy_direct
Beale_2D,v70,9,1,47.0,0,homotopy_direct
Beale_2D,v54,10,1,86.3,0,homotopy_direct
Beale_2D,v70,10,1,46.5,0,homotopy_direct
Beale_2D,v54,11,1,46.7,0,homotopy_direct
Beale_2D,v70,11,1,48.0,0,homotopy_direct
Beale_2D,v54,12,1,49.0,0,homotopy_direct
Beale_2D,v70,12,1,46.4,0,homotopy_direct
Beale_2D,v54,13,1,52.2,0,homotopy_direct
Beale_2D,v70,13,1,53.0,0,homotopy_direct
Beale_2D,v54,14,1,52.0,0,homotopy_direct
Beale_2D,v70,14,1,52.6,0,homotopy_direct
Beale_2D,v54,15,1,38.0,0,homotopy_direct
Beale_2D,v70,15,1,38.0,0,homotopy_direct
Beale_2D,v54,16,1,45.1,0,homotopy_direct
Beale_2D,v70,16,1,44.0,0,homotopy_direct
Beale_2D,v54,17,1,52.9,0,homotopy_direct
Beale_2D,v70,17,1,54.0,0,homotopy_direct
Beale_2D,v54,18,1,50.1,0,homotopy_direct
Beale_2D,v70,18,1,52.0,0,homotopy_direct
Beale_2D,v54,19,1,52.0,0,homotopy_direct
Beale_2D,v70,19,1,55.9,0,homotopy_direct
Beale_2D,v54,20,1,39.5,0,homotopy_direct
Beale_2D,v70,20,1,52.0,0,homotopy_direct
Beale_2D,v54,21,1,51.1,0,homotopy_direct
Beale_2D,v70,21,1,51.7,0,homotopy_direct
Beale_2D,v54,22,1,42.9,0,homotopy_direct
Beale_2D,v70,22,1,39.0,0,homotopy_direct
Beale_2D,v54,23,1,39.2,0,homotopy_direct
Beale_2D,v70,23,1,36.0,0,homotopy_direct
Beale_2D,v54,24,1,49.0,0,homotopy_direct
Beale_2D,v70,24,1,56.0,0,homotopy_direct
Beale_2D,v54,25,1,0.0,24,direct_newton
Beale_2D,v70,25,1,1.0,24,direct_newton
Beale_2D,v54,26,1,44.0,0,homotopy_direct
Beale_2D,v70,26,1,46.0,0,homotopy_direct
Beale_2D,v54,27,1,51.0,0,homotopy_direct
Beale_2D,v70,27,1,53.0,0,homotopy_direct
Beale_2D,v54,28,1,38.0,0,homotopy_direct
Beale_2D,v70,28,1,38.0,0,homotopy_direct
Beale_2D,v54,29,1,32.0,0,homotopy_direct
Beale_2D,v70,29,1,33.0,0,homotopy_direct
Beale_2D_C,v54,0,1,233.0,25888,hgca_cma_refined
Beale_2D_C,v70,0,1,233.0,25888,hgca_cma_refined
Beale_2D_C,v54,1,1,177.0,18321,hgca_cma_refined
Beale_2D_C,v70,1,1,181.6,18321,hgca_cma_refined
Beale_2D_C,v54,2,1,211.3,22688,hgca_cma_refined
Beale_2D_C,v70,2,1,212.4,22688,hgca_cma_refined
Beale_2D_C,v54,3,1,172.2,17080,hgca_cma_refined
Beale_2D_C,v70,3,1,171.9,17080,hgca_cma_refined
Beale_2D_C,v54,4,1,214.3,22936,hgca_cma_refined
Beale_2D_C,v70,4,1,214.3,22936,hgca_cma_refined
Beale_2D_C,v54,5,1,177.2,17953,hgca_cma_refined
Beale_2D_C,v70,5,1,178.3,17953,hgca_cma_refined
Beale_2D_C,v54,6,1,238.6,25768,hgca_cma_refined
Beale_2D_C,v70,6,1,232.3,25768,hgca_cma_refined
Beale_2D_C,v54,7,1,218.7,23824,hgca_cma_refined
Beale_2D_C,v70,7,1,215.1,23824,hgca_cma_refined
Beale_2D_C,v54,8,1,164.2,16560,hgca_cma_refined
Beale_2D_C,v70,8,1,167.6,16560,hgca_cma_refined
Beale_2D_C,v54,9,1,209.0,22231,hgca_cma_refined
Beale_2D_C,v70,9,1,207.8,22231,hgca_cma_refined
Beale_2D_C,v54,10,1,232.0,25816,hgca_cma_refined
Beale_2D_C,v70,10,1,233.5,25816,hgca_cma_refined
Beale_2D_C,v54,11,1,207.7,22216,hgca_cma_refined
Beale_2D_C,v70,11,1,369.0,22216,hgca_cma_refined
Beale_2D_C,v54,12,1,514.0,17913,hgca_cma_refined
Beale_2D_C,v70,12,1,540.2,17913,hgca_cma_refined
Beale_2D_C,v54,13,1,635.4,24656,hgca_cma_refined
Beale_2D_C,v70,13,1,666.9,24656,hgca_cma_refined
Beale_2D_C,v54,14,1,639.2,22991,hgca_cma_refined
Beale_2D_C,v70,14,1,560.4,22991,hgca_cma_refined
Beale_2D_C,v54,15,1,567.0,18993,hgca_cma_refined
Beale_2D_C,v70,15,1,511.0,18993,hgca_cma_refined
Beale_2D_C,v54,16,1,680.9,24528,hgca_cma_refined
Beale_2D_C,v70,16,1,561.7,24528,hgca_cma_refined
Beale_2D_C,v54,17,1,644.0,25208,hgca_cma_refined
Beale_2D_C,v70,17,1,640.2,25208,hgca_cma_refined
Beale_2D_C,v54,18,1,495.0,17401,hgca_cma_refined
Beale_2D_C,v70,18,1,470.5,17401,hgca_cma_refined
Beale_2D_C,v54,19,1,531.1,21888,hgca_cma_refined
Beale_2D_C,v70,19,1,567.0,21888,hgca_cma_refined
Beale_2D_C,v54,20,1,621.0,25984,hgca_cma_refined
Beale_2D_C,v70,20,1,618.7,25984,hgca_cma_refined
Beale_2D_C,v54,21,1,388.6,18153,hgca_cma_refined
Beale_2D_C,v70,21,1,447.5,18153,hgca_cma_refined
Beale_2D_C,v54,22,1,543.5,19897,hgca_cma_refined
Beale_2D_C,v70,22,1,352.7,19897,hgca_cma_refined
Beale_2D_C,v54,23,1,534.7,18969,hgca_cma_refined
Beale_2D_C,v70,23,1,553.3,18969,hgca_cma_refined
Beale_2D_C,v54,24,1,630.3,23296,hgca_cma_refined
Beale_2D_C,v70,24,1,489.2,23296,hgca_cma_refined
Beale_2D_C,v54,25,1,582.0,20001,hgca_cma_refined
Beale_2D_C,v70,25,1,545.3,20001,hgca_cma_refined
Beale_2D_C,v54,26,1,641.0,22760,hgca_cma_refined
Beale_2D_C,v70,26,1,606.1,22760,hgca_cma_refined
Beale_2D_C,v54,27,1,469.7,18217,hgca_cma_refined
Beale_2D_C,v70,27,1,572.8,18217,hgca_cma_refined
Beale_2D_C,v54,28,1,672.1,24759,hgca_cma_refined
Beale_2D_C,v70,28,1,627.4,24759,hgca_cma_refined
Beale_2D_C,v54,29,1,549.0,19305,hgca_cma_refined
Beale_2D_C,v70,29,1,567.9,19305,hgca_cma_refined
Beale_2D_E,v54,0,1,718.4,26361,hgca_cma_refined
Beale_2D_E,v70,0,1,693.1,26361,hgca_cma_refined
Beale_2D_E,v54,1,1,459.8,20242,hgca_cma_refined
Beale_2D_E,v70,1,1,398.9,20242,hgca_cma_refined
Beale_2D_E,v54,2,1,221.8,19578,hgca_cma_refined
Beale_2D_E,v70,2,1,223.0,19578,hgca_cma_refined
Beale_2D_E,v54,3,1,298.2,23961,hgca_cma_refined
Beale_2D_E,v70,3,1,263.2,23961,hgca_cma_refined
Beale_2D_E,v54,4,1,286.8,25233,hgca_cma_refined
Beale_2D_E,v70,4,1,356.7,25233,hgca_cma_refined
Beale_2D_E,v54,5,1,592.8,27225,hgca_cma_refined
Beale_2D_E,v70,5,1,755.1,27225,hgca_cma_refined
Beale_2D_E,v54,6,1,433.5,26033,hgca_cma_refined
Beale_2D_E,v70,6,1,404.6,26033,hgca_cma_refined
Beale_2D_E,v54,7,1,694.8,27417,hgca_cma_refined
Beale_2D_E,v70,7,1,719.9,27417,hgca_cma_refined
Beale_2D_E,v54,8,1,425.3,25505,hgca_cma_refined
Beale_2D_E,v70,8,1,302.2,25505,hgca_cma_refined
Beale_2D_E,v54,9,1,268.1,24585,hgca_cma_refined
Beale_2D_E,v70,9,1,282.0,24585,hgca_cma_refined
Beale_2D_E,v54,10,1,380.3,25305,hgca_cma_refined
