problem,solver,run,conv,time_ms,nit,stage
Beale_2D,hgca_v67,0,1,59.2,0,homotopy_direct
Beale_2D,hgca_v54,0,1,55.1,0,homotopy_direct
Beale_2D,bipop,0,1,429.5,30302,
Beale_2D,nbipop,0,1,255.3,20814,
Beale_2D,hgca_v67,1,1,51.1,0,homotopy_direct
Beale_2D,hgca_v54,1,1,52.0,0,homotopy_direct
Beale_2D,bipop,1,1,394.0,30042,
Beale_2D,nbipop,1,1,270.5,21294,
Beale_2D,hgca_v67,2,1,53.0,0,homotopy_direct
Beale_2D,hgca_v54,2,1,54.0,0,homotopy_direct
Beale_2D,bipop,2,1,424.4,30009,
Beale_2D,nbipop,2,1,272.0,20838,
Beale_2D,hgca_v67,3,1,53.0,0,homotopy_direct
Beale_2D,hgca_v54,3,1,56.0,0,homotopy_direct
Beale_2D,bipop,3,1,402.5,30046,
Beale_2D,nbipop,3,1,263.0,20838,
Beale_2D,hgca_v67,4,1,46.0,0,homotopy_direct
Beale_2D,hgca_v54,4,1,50.0,0,homotopy_direct
Beale_2D,bipop,4,1,423.0,30157,
Beale_2D,nbipop,4,1,272.0,21678,
Beale_2D,hgca_v67,5,1,45.0,0,homotopy_direct
Beale_2D,hgca_v54,5,1,47.0,0,homotopy_direct
Beale_2D,bipop,5,1,416.0,30173,
Beale_2D,nbipop,5,1,269.3,21534,
Beale_2D,hgca_v67,6,1,39.0,0,homotopy_direct
Beale_2D,hgca_v54,6,1,40.0,0,homotopy_direct
Beale_2D,bipop,6,1,393.0,30281,
Beale_2D,nbipop,6,1,248.2,20862,
Beale_2D,hgca_v67,7,1,48.0,0,homotopy_direct
Beale_2D,hgca_v54,7,1,46.0,0,homotopy_direct
Beale_2D,bipop,7,1,418.1,30270,
Beale_2D,nbipop,7,1,815.4,21294,
Beale_2D,hgca_v67,8,1,243.0,0,homotopy_direct
Beale_2D,hgca_v54,8,1,185.0,0,homotopy_direct
Beale_2D,bipop,8,1,878.0,30328,
Beale_2D,nbipop,8,1,250.9,20850,
Beale_2D,hgca_v67,9,1,45.7,0,homotopy_direct
Beale_2D,hgca_v54,9,1,45.0,0,homotopy_direct
Beale_2D,bipop,9,1,390.2,30074,
Beale_2D,nbipop,9,1,262.8,20934,
Beale_2D,hgca_v67,10,1,47.0,0,homotopy_direct
Beale_2D,hgca_v54,10,1,47.2,0,homotopy_direct
Beale_2D,bipop,10,1,422.6,30053,
Beale_2D,nbipop,10,1,267.4,21270,
Beale_2D,hgca_v67,11,1,48.0,0,homotopy_direct
Beale_2D,hgca_v54,11,1,46.0,0,homotopy_direct
Beale_2D,bipop,11,1,390.4,30054,
Beale_2D,nbipop,11,1,270.6,21342,
Beale_2D,hgca_v67,12,1,50.0,0,homotopy_direct
Beale_2D,hgca_v54,12,1,47.0,0,homotopy_direct
Beale_2D,bipop,12,1,416.6,30219,
Beale_2D,nbipop,12,1,260.5,21366,
Beale_2D,hgca_v67,13,1,53.6,0,homotopy_direct
Beale_2D,hgca_v54,13,1,53.0,0,homotopy_direct
Beale_2D,bipop,13,1,375.9,30233,
Beale_2D,nbipop,13,1,267.0,21330,
Beale_2D,hgca_v67,14,1,55.0,0,homotopy_direct
Beale_2D,hgca_v54,14,1,57.0,0,homotopy_direct
Beale_2D,bipop,14,1,431.8,30166,
Beale_2D,nbipop,14,1,270.0,21354,
Beale_2D,hgca_v67,15,1,40.0,0,homotopy_direct
Beale_2D,hgca_v54,15,1,40.0,0,homotopy_direct
Beale_2D,bipop,15,1,407.8,30263,
Beale_2D,nbipop,15,1,265.8,20838,
Beale_2D,hgca_v67,16,1,48.0,0,homotopy_direct
Beale_2D,hgca_v54,16,1,47.0,0,homotopy_direct
Beale_2D,bipop,16,1,377.1,30279,
Beale_2D,nbipop,16,1,258.0,21474,
Beale_2D,hgca_v67,17,1,55.8,0,homotopy_direct
Beale_2D,hgca_v54,17,1,52.1,0,homotopy_direct
Beale_2D,bipop,17,1,400.5,30369,
Beale_2D,nbipop,17,1,268.1,21318,
