problem,solver,run,conv,time_ms,nit,stage
Beale_2D,v54,0,1,57.0,0,homotopy_direct
Beale_2D,v71,0,1,52.9,0,homotopy_direct
Beale_2D,v74a,0,1,154.0,0,homotopy_direct
Beale_2D,v74,0,1,158.0,0,homotopy_direct
Beale_2D,v54,1,1,54.0,0,homotopy_direct
Beale_2D,v71,1,1,59.0,0,homotopy_direct
Beale_2D,v74a,1,1,148.7,0,homotopy_direct
Beale_2D,v74,1,1,152.0,0,homotopy_direct
Beale_2D,v54,2,1,53.0,0,homotopy_direct
Beale_2D,v71,2,1,54.0,0,homotopy_direct
Beale_2D,v74a,2,1,161.5,0,homotopy_direct
Beale_2D,v74,2,1,150.5,0,homotopy_direct
Beale_2D,v54,3,1,56.0,0,homotopy_direct
Beale_2D,v71,3,1,56.0,0,homotopy_direct
Beale_2D,v74a,3,1,147.0,0,homotopy_direct
Beale_2D,v74,3,1,153.0,0,homotopy_direct
Beale_2D,v54,4,1,50.0,0,homotopy_direct
Beale_2D,v71,4,1,52.0,0,homotopy_direct
Beale_2D,v74a,4,1,150.7,0,homotopy_direct
Beale_2D,v74,4,1,142.0,0,homotopy_direct
Beale_2D,v54,5,1,46.0,0,homotopy_direct
Beale_2D,v71,5,1,47.0,0,homotopy_direct
Beale_2D,v74a,5,1,138.0,0,homotopy_direct
Beale_2D,v74,5,1,156.4,0,homotopy_direct
Beale_2D,v54,6,1,42.1,0,homotopy_direct
Beale_2D,v71,6,1,40.0,0,homotopy_direct
Beale_2D,v74a,6,1,133.0,0,homotopy_direct
Beale_2D,v74,6,1,137.0,0,homotopy_direct
Beale_2D,v54,7,1,48.0,0,homotopy_direct
Beale_2D,v71,7,1,50.0,0,homotopy_direct
Beale_2D,v74a,7,1,150.1,0,homotopy_direct
Beale_2D,v74,7,1,147.2,0,homotopy_direct
Beale_2D,v54,8,1,50.5,0,homotopy_direct
Beale_2D,v71,8,1,49.2,0,homotopy_direct
Beale_2D,v74a,8,1,148.2,0,homotopy_direct
Beale_2D,v74,8,1,148.6,0,homotopy_direct
Beale_2D,v54,9,1,51.0,0,homotopy_direct
Beale_2D,v71,9,1,48.0,0,homotopy_direct
Beale_2D,v74a,9,1,153.0,0,homotopy_direct
Beale_2D,v74,9,1,153.0,0,homotopy_direct
Beale_2D,v54,10,1,52.8,0,homotopy_direct
Beale_2D,v71,10,1,47.0,0,homotopy_direct
Beale_2D,v74a,10,1,142.0,0,homotopy_direct
Beale_2D,v74,10,1,143.5,0,homotopy_direct
Beale_2D,v54,11,1,48.0,0,homotopy_direct
Beale_2D,v71,11,1,48.1,0,homotopy_direct
Beale_2D,v74a,11,1,146.3,0,homotopy_direct
Beale_2D,v74,11,1,145.0,0,homotopy_direct
Beale_2D,v54,12,1,56.0,0,homotopy_direct
Beale_2D,v71,12,1,51.0,0,homotopy_direct
Beale_2D,v74a,12,1,157.0,0,homotopy_direct
Beale_2D,v74,12,1,147.1,0,homotopy_direct
Beale_2D,v54,13,1,59.9,0,homotopy_direct
Beale_2D,v71,13,1,55.0,0,homotopy_direct
Beale_2D,v74a,13,1,155.0,0,homotopy_direct
Beale_2D,v74,13,1,154.6,0,homotopy_direct
Beale_2D,v54,14,1,59.0,0,homotopy_direct
Beale_2D,v71,14,1,58.0,0,homotopy_direct
Beale_2D,v74a,14,1,168.8,0,homotopy_direct
Beale_2D,v74,14,1,157.0,0,homotopy_direct
Beale_2D,v54,15,1,42.0,0,homotopy_direct
Beale_2D,v71,15,1,43.0,0,homotopy_direct
Beale_2D,v74a,15,1,140.0,0,homotopy_direct
Beale_2D,v74,15,1,146.0,0,homotopy_direct
Beale_2D,v54,16,1,49.0,0,homotopy_direct
Beale_2D,v71,16,1,53.8,0,homotopy_direct
Beale_2D,v74a,16,1,145.0,0,homotopy_direct
Beale_2D,v74,16,1,148.2,0,homotopy_direct
Beale_2D,v54,17,1,63.0,0,homotopy_direct
Beale_2D,v71,17,1,62.0,0,homotopy_direct
Beale_2D,v74a,17,1,153.0,0,homotopy_direct
Beale_2D,v74,17,1,153.0,0,homotopy_direct
Beale_2D,v54,18,1,61.0,0,homotopy_direct
Beale_2D,v71,18,1,57.7,0,homotopy_direct
Beale_2D,v74a,18,1,152.0,0,homotopy_direct
Beale_2D,v74,18,1,152.1,0,homotopy_direct
